#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:17:34 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:17:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.add=_RAJ,_DEJ&-c.r=  2&-c.geom=r&-source=J/A+A/661/A53/table1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=l_Mdust&-out=Mdust&Simbad=Simbad&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610053
#Name: J/A+A/661/A53
#Title: Survey of Orion disks with ALMA (SODA) (van Terwisga+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a53	    IVOID of underlying data collection
#INFO	creator=van Terwisga S.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..53V	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A53	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610053	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A53_table1:
#Name: J/A+A/661/A53/table1
#Title: Continuum fluxes and masses for the SODA sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(A11)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_Mdust	(A1)	[<] Upper limit flag on Mdust	[ucd=meta.code.error]
#Column	Mdust	(F5.1)	[1.1/363.92] Disk dust mass	[ucd=phys.mass]
_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	l_Mdust	Mdust
085.2081250	 -8.0997167	05 40 49.95	-08 05 58.98	 	  8.5
085.2003333	 -8.0996000	05 40 48.08	-08 05 58.56	 	  1.8
085.6965417	 -8.0991556	05 42 47.17	-08 05 56.96	 	  1.2
085.2082500	 -8.0984278	05 40 49.98	-08 05 54.34	<	  1.3
085.6148750	 -8.0906389	05 42 27.57	-08 05 26.30	 	  4.4
085.1925833	 -8.0901056	05 40 46.22	-08 05 24.38	 	256.6
085.5302917	 -8.0902167	05 42 07.27	-08 05 24.78	 	  1.9
085.2884167	 -8.0855611	05 41 09.22	-08 05 08.02	 	  2.6
085.5814167	 -8.0857333	05 42 19.54	-08 05 08.64	<	  1.3
085.1950417	 -8.0816056	05 40 46.81	-08 04 53.78	<	  1.4
085.7574167	 -8.0807222	05 43 01.78	-08 04 50.60	 	 13.3
085.3774583	 -8.0800889	05 41 30.59	-08 04 48.32	 	160.3
085.3764583	 -8.0784500	05 41 30.35	-08 04 42.42	 	  8.8
085.2236250	 -8.0731389	05 40 53.67	-08 04 23.30	 	  1.7
085.3704583	 -8.0702944	05 41 28.91	-08 04 13.06	 	  2.5
085.6977083	 -8.0681833	05 42 47.45	-08 04 05.46	 	  2.1
085.1556667	 -8.0675111	05 40 37.36	-08 04 03.04	 	 51.9
085.1708750	 -8.0384944	05 40 41.01	-08 02 18.58	 	 13.8
085.6430000	 -8.0366833	05 42 34.32	-08 02 12.06	<	  1.3
084.8428333	 -8.0264722	05 39 22.28	-08 01 35.30	<	  1.2
085.5461667	 -8.0181556	05 42 11.08	-08 01 05.36	<	  1.3
085.5232917	 -8.0182056	05 42 05.59	-08 01 05.54	 	  8.4
085.4572500	 -8.0089667	05 41 49.74	-08 00 32.28	 	194.1
085.4236250	 -8.0051556	05 41 41.67	-08 00 18.56	 	 10.9
085.3891250	 -7.9989778	05 41 33.39	-07 59 56.32	 	 28.0
085.4777917	 -7.9867556	05 41 54.67	-07 59 12.32	 	 10.2
085.5608333	 -7.9827444	05 42 14.60	-07 58 57.88	 	 20.5
085.6100833	 -7.9824389	05 42 26.42	-07 58 56.78	 	  6.4
085.6104167	 -7.9807944	05 42 26.50	-07 58 50.86	 	116.4
085.5595000	 -7.9764444	05 42 14.28	-07 58 35.20	 	  1.4
085.1054167	 -7.9758222	05 40 25.30	-07 58 32.96	<	  1.3
085.6215000	 -7.9747944	05 42 29.16	-07 58 29.26	<	  1.2
085.4322500	 -7.9729667	05 41 43.74	-07 58 22.68	 	  2.9
085.4368333	 -7.9709500	05 41 44.84	-07 58 15.42	 	  1.7
085.2057083	 -7.9606278	05 40 49.37	-07 57 38.26	 	  3.0
085.1093750	 -7.9538944	05 40 26.25	-07 57 14.02	 	  3.8
085.4552083	 -7.9533556	05 41 49.25	-07 57 12.08	<	  1.3
085.5367083	 -7.9484111	05 42 08.81	-07 56 54.28	<	  1.3
085.3387500	 -7.9482333	05 41 21.30	-07 56 53.64	<	  1.4
085.0856250	 -7.9443556	05 40 20.55	-07 56 39.68	 	207.2
085.0846250	 -7.9402278	05 40 20.31	-07 56 24.82	 	  4.3
085.5122917	 -7.9391111	05 42 02.95	-07 56 20.80	 	  7.3
085.4400000	 -7.9319611	05 41 45.60	-07 55 55.06	 	  9.7
085.3602500	 -7.9279167	05 41 26.46	-07 55 40.50	<	  1.2
085.1159583	 -7.9267889	05 40 27.83	-07 55 36.44	 	 66.0
085.1040417	 -7.9264444	05 40 24.97	-07 55 35.20	 	 38.2
085.3340833	 -7.9232889	05 41 20.18	-07 55 23.84	<	  1.2
085.3884583	 -7.9173111	05 41 33.23	-07 55 02.32	 	 22.0
085.3392917	 -7.9169167	05 41 21.43	-07 55 00.90	 	  1.7
085.3748750	 -7.9059000	05 41 29.97	-07 54 21.24	 	 26.5
085.3310417	 -7.8964111	05 41 19.45	-07 53 47.08	<	  1.3
085.3173333	 -7.8967222	05 41 16.16	-07 53 48.20	<	  1.2
085.0587917	 -7.8961778	05 40 14.11	-07 53 46.24	 	  1.2
085.3295417	 -7.8936333	05 41 19.09	-07 53 37.08	<	  1.2
085.3406667	 -7.8878500	05 41 21.76	-07 53 16.26	 	  6.5
084.9416667	 -7.8834667	05 39 46.00	-07 53 00.48	<	  1.4
085.5180833	 -7.8732722	05 42 04.34	-07 52 23.78	<	  1.3
085.5181667	 -7.8639333	05 42 04.36	-07 51 50.16	 	  2.1
085.3192083	 -7.8550111	05 41 16.61	-07 51 18.04	<	  1.3
084.9097083	 -7.8540056	05 39 38.33	-07 51 14.42	<	  1.3
084.6466250	 -7.8388444	05 38 35.19	-07 50 19.84	 	 55.8
085.1495000	 -7.8356722	05 40 35.88	-07 50 08.42	<	  1.1
084.6188750	 -7.8336556	05 38 28.53	-07 50 01.16	 	  1.5
085.4752500	 -7.8313389	05 41 54.06	-07 49 52.82	 	  4.2
085.3242500	 -7.8310778	05 41 17.82	-07 49 51.88	<	  1.3
085.3577917	 -7.8307611	05 41 25.87	-07 49 50.74	 	  5.5
084.8116667	 -7.8288833	05 39 14.80	-07 49 43.98	<	  1.3
085.3668333	 -7.8229222	05 41 28.04	-07 49 22.52	 	 14.8
085.3445833	 -7.8211556	05 41 22.70	-07 49 16.16	 	 12.4
085.0715417	 -7.8206944	05 40 17.17	-07 49 14.50	 	102.7
085.1604583	 -7.8193111	05 40 38.51	-07 49 09.52	 	  1.2
085.0769583	 -7.8184944	05 40 18.47	-07 49 06.58	 	  6.8
084.9177083	 -7.8166111	05 39 40.25	-07 48 59.80	 	  1.5
085.1815417	 -7.8132667	05 40 43.57	-07 48 47.76	 	  3.3
085.2496667	 -7.8044722	05 40 59.92	-07 48 16.10	 	 10.8
085.2395417	 -7.8024389	05 40 57.49	-07 48 08.78	 	 12.8
085.2454167	 -7.8004278	05 40 58.90	-07 48 01.54	 	  3.1
085.1603333	 -7.7963778	05 40 38.48	-07 47 46.96	 	 84.7
085.0261250	 -7.7956833	05 40 06.27	-07 47 44.46	 	 12.5
085.2791250	 -7.7877778	05 41 06.99	-07 47 16.00	 	  1.4
085.2728750	 -7.7854444	05 41 05.49	-07 47 07.60	 	 45.7
084.6525417	 -7.7762111	05 38 36.61	-07 46 34.36	 	  2.1
085.2055000	 -7.7757556	05 40 49.32	-07 46 32.72	 	  8.4
085.2795000	 -7.7729278	05 41 07.08	-07 46 22.54	 	 16.1
085.2691667	 -7.7611889	05 41 04.60	-07 45 40.28	 	 15.7
085.1840417	 -7.7527000	05 40 44.17	-07 45 09.72	 	 33.7
085.1715417	 -7.7492167	05 40 41.17	-07 44 57.18	<	  1.2
085.1843750	 -7.7454167	05 40 44.25	-07 44 43.50	 	 47.7
084.6040000	 -7.7436722	05 38 24.96	-07 44 37.22	 	  1.3
084.6994167	 -7.7425222	05 38 47.86	-07 44 33.08	<	  1.4
085.1850000	 -7.7379944	05 40 44.40	-07 44 16.78	 	  2.6
084.9013750	 -7.7308278	05 39 36.33	-07 43 50.98	 	  9.3
085.2667917	 -7.7274111	05 41 04.03	-07 43 38.68	<	  1.2
085.2494583	 -7.7208111	05 40 59.87	-07 43 14.92	<	  1.2
085.0982083	 -7.6737611	05 40 23.57	-07 40 25.54	 	  1.5
085.1158750	 -7.6637722	05 40 27.81	-07 39 49.58	 	  1.9
085.1486667	 -7.6629944	05 40 35.68	-07 39 46.78	 	  3.7
085.1557500	 -7.6601111	05 40 37.38	-07 39 36.40	 	  3.1
084.4805000	 -7.6581000	05 37 55.32	-07 39 29.16	<	  1.3
084.6085417	 -7.6330778	05 38 26.05	-07 37 59.08	 	  5.2
085.1381667	 -7.6287778	05 40 33.16	-07 37 43.60	<	  1.4
084.9969583	 -7.6258389	05 39 59.27	-07 37 33.02	 	 97.2
085.1304167	 -7.6170000	05 40 31.30	-07 37 01.20	 	 18.3
084.4716667	 -7.5622278	05 37 53.20	-07 33 44.02	<	  1.2
085.0574583	 -7.5377833	05 40 13.79	-07 32 16.02	 	 83.8
085.2259583	 -7.5300778	05 40 54.23	-07 31 48.28	 	  1.4
084.9727917	 -7.5156167	05 39 53.47	-07 30 56.22	<	  2.0
084.6364167	 -7.5145722	05 38 32.74	-07 30 52.46	<	  1.4
085.0482083	 -7.5113833	05 40 11.57	-07 30 40.98	 	  8.1
084.9791667	 -7.5055889	05 39 55.00	-07 30 20.12	 	 59.4
084.9837083	 -7.5039833	05 39 56.09	-07 30 14.34	<	  6.5
084.0487917	 -7.5028167	05 36 11.71	-07 30 10.14	<	  1.2
084.9727917	 -7.5026778	05 39 53.47	-07 30 09.64	 	 11.2
085.1861250	 -7.4984333	05 40 44.67	-07 29 54.36	 	 62.3
084.9797917	 -7.4935667	05 39 55.15	-07 29 36.84	 	  1.8
085.0638333	 -7.4797056	05 40 15.32	-07 28 46.94	 	 85.4
084.7271667	 -7.4643667	05 38 54.52	-07 27 51.72	 	117.6
084.9780833	 -7.4622833	05 39 54.74	-07 27 44.22	 	 54.1
085.0333333	 -7.4614333	05 40 08.00	-07 27 41.16	 	  6.7
085.0431667	 -7.4606889	05 40 10.36	-07 27 38.48	 	 33.7
085.0507917	 -7.4503167	05 40 12.19	-07 27 01.14	<	  1.3
084.8128750	 -7.4499000	05 39 15.09	-07 26 59.64	 	  5.9
084.8430833	 -7.4457000	05 39 22.34	-07 26 44.52	 	363.9
084.9924583	 -7.4450833	05 39 58.19	-07 26 42.30	<	  1.2
084.8337500	 -7.4440222	05 39 20.10	-07 26 38.48	<	  2.2
084.9545000	 -7.4433278	05 39 49.08	-07 26 35.98	<	  1.3
084.9075000	 -7.4397944	05 39 37.80	-07 26 23.26	 	  2.9
084.9545833	 -7.4381111	05 39 49.10	-07 26 17.20	 	  9.7
084.8981250	 -7.4378333	05 39 35.55	-07 26 16.20	<	  1.3
084.8629167	 -7.4371500	05 39 27.10	-07 26 13.74	 	  1.3
084.9922917	 -7.4371889	05 39 58.15	-07 26 13.88	<	  1.4
084.8253333	 -7.4364111	05 39 18.08	-07 26 11.08	 	 13.7
084.9188750	 -7.4343611	05 39 40.53	-07 26 03.70	 	  5.7
083.8311667	 -7.4337056	05 35 19.48	-07 26 01.34	<	  1.2
084.8205417	 -7.4334111	05 39 16.93	-07 26 00.28	<	  1.4
085.0850000	 -7.4316889	05 40 20.40	-07 25 54.08	 	 49.2
084.8638750	 -7.4315333	05 39 27.33	-07 25 53.52	<	  1.4
085.0215417	 -7.4288278	05 40 05.17	-07 25 43.78	 	  1.6
084.9954583	 -7.4260389	05 39 58.91	-07 25 33.74	 	 64.6
084.9808750	 -7.4108667	05 39 55.41	-07 24 39.12	<	  1.4
085.1004167	 -7.4078444	05 40 24.10	-07 24 28.24	<	  1.3
084.9100000	 -7.4066778	05 39 38.40	-07 24 24.04	 	  3.1
084.9103333	 -7.4046722	05 39 38.48	-07 24 16.82	<	  1.3
084.4042083	 -7.4046556	05 37 37.01	-07 24 16.76	 	  3.6
084.8683333	 -7.4044056	05 39 28.40	-07 24 15.86	<	  1.4
084.9516667	 -7.4041500	05 39 48.40	-07 24 14.94	 	 52.9
085.0270417	 -7.4006389	05 40 06.49	-07 24 02.30	<	  1.4
085.0272917	 -7.3996389	05 40 06.55	-07 23 58.70	 	 19.5
084.9268750	 -7.3879333	05 39 42.45	-07 23 16.56	 	 42.7
084.9409583	 -7.3771056	05 39 45.83	-07 22 37.58	 	  4.2
084.6845833	 -7.3744556	05 38 44.30	-07 22 28.04	 	  2.1
085.1880000	 -7.3736278	05 40 45.12	-07 22 25.06	 	 51.9
084.8847083	 -7.3734278	05 39 32.33	-07 22 24.34	 	  3.1
084.9456667	 -7.3733722	05 39 46.96	-07 22 24.14	 	  7.4
084.5174167	 -7.3678889	05 38 04.18	-07 22 04.40	 	  5.6
084.3447083	 -7.3570333	05 37 22.73	-07 21 25.32	<	  1.5
084.7182500	 -7.3525778	05 38 52.38	-07 21 09.28	 	 21.5
084.5796667	 -7.3475056	05 38 19.12	-07 20 51.02	<	  1.6
083.9137083	 -7.3440778	05 35 39.29	-07 20 38.68	<	  1.4
084.8692083	 -7.3420278	05 39 28.61	-07 20 31.30	 	133.5
084.7105833	 -7.3416000	05 38 50.54	-07 20 29.76	 	 12.4
084.9128333	 -7.3414667	05 39 39.08	-07 20 29.28	 	  1.7
084.9102917	 -7.3402167	05 39 38.47	-07 20 24.78	 	  1.8
084.9308750	 -7.3391556	05 39 43.41	-07 20 20.96	 	 42.4
084.7084583	 -7.3384667	05 38 50.03	-07 20 18.48	 	 15.6
084.9345000	 -7.3362778	05 39 44.28	-07 20 10.60	 	  4.4
084.8134583	 -7.3259944	05 39 15.23	-07 19 33.58	<	  1.5
084.8977500	 -7.3238667	05 39 35.46	-07 19 25.92	 	  2.2
085.0579583	 -7.3238000	05 40 13.91	-07 19 25.68	 	  7.5
085.0700833	 -7.3186278	05 40 16.82	-07 19 07.06	 	  2.1
084.9525000	 -7.3181778	05 39 48.60	-07 19 05.44	 	  1.7
084.3329167	 -7.3160333	05 37 19.90	-07 18 57.72	<	  1.4
084.6486250	 -7.3065722	05 38 35.67	-07 18 23.66	<	  1.5
084.5167500	 -7.2973333	05 38 04.02	-07 17 50.40	 	  1.7
084.8358750	 -7.2921778	05 39 20.61	-07 17 31.84	<	  1.4
084.6410000	 -7.2841500	05 38 33.84	-07 17 02.94	 	 69.3
084.7443333	 -7.2793500	05 38 58.64	-07 16 45.66	 	252.3
084.5206667	 -7.2695944	05 38 04.96	-07 16 10.54	 	  3.1
084.5035000	 -7.2649222	05 38 00.84	-07 15 53.72	 	 16.6
084.1155000	 -7.2275556	05 36 27.72	-07 13 39.20	<	  1.5
084.7291667	 -7.1982111	05 38 55.00	-07 11 53.56	 	  9.7
084.3183333	 -7.1961222	05 37 16.40	-07 11 46.04	<	  1.6
084.4492083	 -7.1939167	05 37 47.81	-07 11 38.10	 	  1.7
083.7462500	 -7.1877667	05 34 59.10	-07 11 15.96	<	  1.4
084.6929167	 -7.1845278	05 38 46.30	-07 11 04.30	<	  1.5
084.6527500	 -7.1833833	05 38 36.66	-07 11 00.18	 	 13.0
084.5726667	 -7.1610333	05 38 17.44	-07 09 39.72	 	  6.5
084.7897083	 -7.1549944	05 39 09.53	-07 09 17.98	 	  4.9
084.5313333	 -7.1540889	05 38 07.52	-07 09 14.72	<	  1.4
084.5995000	 -7.1274556	05 38 23.88	-07 07 38.84	 	 10.4
084.7288750	 -7.1196833	05 38 54.93	-07 07 10.86	<	  1.4
084.5560833	 -7.1120556	05 38 13.46	-07 06 43.40	 	  8.4
084.6960000	 -7.1094167	05 38 47.04	-07 06 33.90	<	  1.5
084.7526250	 -7.1083667	05 39 00.63	-07 06 30.12	 	 44.2
084.6989167	 -7.1041389	05 38 47.74	-07 06 14.90	 	 14.9
084.6730833	 -7.0998167	05 38 41.54	-07 05 59.34	 	 72.1
084.8380833	 -7.0956278	05 39 21.14	-07 05 44.26	<	  1.4
084.7718750	 -7.0950444	05 39 05.25	-07 05 42.16	 	  5.2
084.7607917	 -7.0927833	05 39 02.59	-07 05 34.02	 	  2.9
084.6834583	 -7.0923056	05 38 44.03	-07 05 32.30	<	  1.4
084.0857500	 -7.0921667	05 36 20.58	-07 05 31.80	<	  1.4
084.5381667	 -7.0905111	05 38 09.16	-07 05 25.84	 	  3.5
084.6951250	 -7.0858167	05 38 46.83	-07 05 08.94	 	 13.0
084.7248750	 -7.0835333	05 38 53.97	-07 05 00.72	 	  3.2
084.5978333	 -7.0790722	05 38 23.48	-07 04 44.66	 	 12.0
084.7813333	 -7.0775056	05 39 07.52	-07 04 39.02	<	  1.4
084.7312917	 -7.0744778	05 38 55.51	-07 04 28.12	 	  1.4
084.3084167	 -7.0614278	05 37 14.02	-07 03 41.14	 	 41.6
084.6778333	 -7.0584333	05 38 42.68	-07 03 30.36	 	  3.1
084.7673333	 -7.0583000	05 39 04.16	-07 03 29.88	 	  7.0
084.3081250	 -7.0564222	05 37 13.95	-07 03 23.12	 	  3.3
084.6832500	 -7.0526833	05 38 43.98	-07 03 09.66	 	  3.5
084.4027917	 -7.0512389	05 37 36.67	-07 03 04.46	 	 11.7
084.6944167	 -7.0471056	05 38 46.66	-07 02 49.58	<	  1.4
084.6867083	 -7.0464056	05 38 44.81	-07 02 47.06	 	  2.8
084.7160833	 -7.0439000	05 38 51.86	-07 02 38.04	<	  1.4
084.6692917	 -7.0403333	05 38 40.63	-07 02 25.20	<	  1.4
084.7170417	 -7.0395444	05 38 52.09	-07 02 22.36	<	  1.4
084.5201667	 -7.0393000	05 38 04.84	-07 02 21.48	<	  1.3
084.7113750	 -7.0369778	05 38 50.73	-07 02 13.12	<	  1.3
084.7182917	 -7.0372889	05 38 52.39	-07 02 14.24	<	  1.5
084.6905000	 -7.0329333	05 38 45.72	-07 01 58.56	 	 61.7
084.7355000	 -7.0321111	05 38 56.52	-07 01 55.60	 	 22.1
084.6968333	 -7.0315167	05 38 47.24	-07 01 53.46	 	 38.1
084.6727917	 -7.0312556	05 38 41.47	-07 01 52.52	 	  8.8
084.4837500	 -7.0304833	05 37 56.10	-07 01 49.74	<	  1.5
084.7098750	 -7.0303000	05 38 50.37	-07 01 49.08	<	  1.6
083.7382500	 -7.0298667	05 34 57.18	-07 01 47.52	 	  1.7
084.7266667	 -7.0268333	05 38 54.40	-07 01 36.60	<	  1.6
084.6807500	 -7.0263167	05 38 43.38	-07 01 34.74	<	  1.4
084.5884583	 -7.0223444	05 38 21.23	-07 01 20.44	 	 27.7
084.7551250	 -7.0193111	05 39 01.23	-07 01 09.52	 	 16.0
084.6970000	 -7.0165556	05 38 47.28	-07 00 59.60	 	  2.1
084.6206250	 -7.0164389	05 38 28.95	-07 00 59.18	<	  1.6
084.9018333	 -7.0162333	05 39 36.44	-07 00 58.44	 	  3.0
084.7033333	 -7.0123667	05 38 48.80	-07 00 44.52	<	  1.5
084.6664167	 -7.0114500	05 38 39.94	-07 00 41.22	<	  1.4
084.6838333	 -7.0110333	05 38 44.12	-07 00 39.72	<	  1.4
084.7203750	 -7.0066444	05 38 52.89	-07 00 23.92	<	  1.5
084.6902500	 -7.0054000	05 38 45.66	-07 00 19.44	<	  1.4
084.7018333	 -7.0018278	05 38 48.44	-07 00 06.58	 	  3.2
084.7021667	 -7.0003556	05 38 48.52	-07 00 01.28	 	 27.4
084.6952917	 -6.9990167	05 38 46.87	-06 59 56.46	 	  1.5
084.1399583	 -6.9954833	05 36 33.59	-06 59 43.74	<	  1.4
084.5535000	 -6.9944222	05 38 12.84	-06 59 39.92	<	  1.5
084.6792500	 -6.9911889	05 38 43.02	-06 59 28.28	<	  1.5
084.1474583	 -6.9881444	05 36 35.39	-06 59 17.32	<	  1.5
084.6671250	 -6.9874556	05 38 40.11	-06 59 14.84	 	 25.1
084.3146667	 -6.9843444	05 37 15.52	-06 59 03.64	 	  3.3
084.4801667	 -6.9789722	05 37 55.24	-06 58 44.30	 	  1.4
084.6757083	 -6.9785222	05 38 42.17	-06 58 42.68	<	  1.3
084.4823333	 -6.9771667	05 37 55.76	-06 58 37.80	 	  1.5
084.6658750	 -6.9748667	05 38 39.81	-06 58 29.52	 	 11.0
084.6827083	 -6.9728444	05 38 43.85	-06 58 22.24	 	  5.8
084.4732083	 -6.9710167	05 37 53.57	-06 58 15.66	<	  1.6
084.6496250	 -6.9709167	05 38 35.91	-06 58 15.30	<	  1.4
084.6872917	 -6.9707500	05 38 44.95	-06 58 14.70	 	 13.5
084.6800833	 -6.9691611	05 38 43.22	-06 58 08.98	 	 35.5
084.4196250	 -6.9638000	05 37 40.71	-06 57 49.68	<	  1.6
084.6438333	 -6.9635278	05 38 34.52	-06 57 48.70	<	  1.5
084.4770417	 -6.9586833	05 37 54.49	-06 57 31.26	 	  3.2
084.4642500	 -6.9527000	05 37 51.42	-06 57 09.72	 	  7.0
084.5434583	 -6.9516222	05 38 10.43	-06 57 05.84	<	  1.4
084.6663750	 -6.9493278	05 38 39.93	-06 56 57.58	<	  1.5
084.4655417	 -6.9477667	05 37 51.73	-06 56 51.96	 	  2.8
084.6748333	 -6.9453611	05 38 41.96	-06 56 43.30	 	 10.7
084.6787917	 -6.9446500	05 38 42.91	-06 56 40.74	<	  1.4
084.4563750	 -6.9410889	05 37 49.53	-06 56 27.92	<	  1.4
083.8389167	 -6.9401944	05 35 21.34	-06 56 24.70	 	  1.6
084.3777083	 -6.9349556	05 37 30.65	-06 56 05.84	<	  1.6
084.2738333	 -6.9295722	05 37 05.72	-06 55 46.46	<	  1.5
084.6152917	 -6.9148778	05 38 27.67	-06 54 53.56	 	 36.8
084.3424167	 -6.9125556	05 37 22.18	-06 54 45.20	 	  4.1
084.7376667	 -6.8831056	05 38 57.04	-06 52 59.18	 	  9.2
084.6330833	 -6.8775278	05 38 31.94	-06 52 39.10	<	  1.3
084.3380833	 -6.8764722	05 37 21.14	-06 52 35.30	<	  1.3
084.1021250	 -6.8761444	05 36 24.51	-06 52 34.12	<	  1.4
084.4556250	 -6.8603611	05 37 49.35	-06 51 37.30	 	 19.7
084.5525833	 -6.8511778	05 38 12.62	-06 51 04.24	<	  1.5
084.6116667	 -6.8487778	05 38 26.80	-06 50 55.60	 	  2.6
083.9591250	 -6.8446056	05 35 50.19	-06 50 40.58	 	103.8
084.4353750	 -6.8435111	05 37 44.49	-06 50 36.64	 	  8.4
083.8787083	 -6.8427778	05 35 30.89	-06 50 34.00	<	  1.5
083.7997500	 -6.8315444	05 35 11.94	-06 49 53.56	<	  1.7
084.0551667	 -6.8280500	05 36 13.24	-06 49 40.98	<	  1.5
084.5387917	 -6.8212722	05 38 09.31	-06 49 16.58	 	 69.7
084.4834583	 -6.8152611	05 37 56.03	-06 48 54.94	 	 46.4
084.0345833	 -6.8100889	05 36 08.30	-06 48 36.32	 	101.5
084.6927500	 -6.8075056	05 38 46.26	-06 48 27.02	<	  1.4
083.8064583	 -6.8005611	05 35 13.55	-06 48 02.02	<	  1.5
084.6062083	 -6.7995111	05 38 25.49	-06 47 58.24	<	  1.5
083.8546667	 -6.7990389	05 35 25.12	-06 47 56.54	 	 55.5
084.4469583	 -6.7652500	05 37 47.27	-06 45 54.90	<	  1.5
083.8631250	 -6.7635722	05 35 27.15	-06 45 48.86	<	  1.5
084.0892083	 -6.7602111	05 36 21.41	-06 45 36.76	 	  7.9
083.8794167	 -6.7550278	05 35 31.06	-06 45 18.10	 	  3.5
083.6462917	 -6.7479722	05 34 35.11	-06 44 52.70	<	  1.5
084.3452500	 -6.7462389	05 37 22.86	-06 44 46.46	 	 19.9
084.5106667	 -6.7458333	05 38 02.56	-06 44 45.00	<	  1.6
084.0208750	 -6.7453389	05 36 05.01	-06 44 43.22	 	  2.0
084.1828333	 -6.7425278	05 36 43.88	-06 44 33.10	<	  1.7
084.1172083	 -6.7425667	05 36 28.13	-06 44 33.24	<	  1.6
084.1377917	 -6.7414944	05 36 33.07	-06 44 29.38	 	 61.1
084.0978750	 -6.7408611	05 36 23.49	-06 44 27.10	<	  1.6
084.1370417	 -6.7391444	05 36 32.89	-06 44 20.92	 	  2.0
084.4325833	 -6.7388333	05 37 43.82	-06 44 19.80	<	  1.5
084.2868750	 -6.7329889	05 37 08.85	-06 43 58.76	<	  1.6
084.1116250	 -6.7287611	05 36 26.79	-06 43 43.54	<	  1.7
084.4950000	 -6.7261000	05 37 58.80	-06 43 33.96	 	  7.7
084.4949583	 -6.7255444	05 37 58.79	-06 43 31.96	<	  1.6
084.2195417	 -6.7189389	05 36 52.69	-06 43 08.18	 	 28.3
084.0481250	 -6.7175056	05 36 11.55	-06 43 03.02	<	  1.4
084.1059583	 -6.7160333	05 36 25.43	-06 42 57.72	 	 28.1
084.1489583	 -6.7138500	05 36 35.75	-06 42 49.86	 	 15.6
084.1259583	 -6.7127944	05 36 30.23	-06 42 46.06	 	  4.1
084.0204583	 -6.7121667	05 36 04.91	-06 42 43.80	<	  1.4
083.9893750	 -6.7116111	05 35 57.45	-06 42 41.80	 	 16.6
084.0068750	 -6.7099667	05 36 01.65	-06 42 35.88	 	  1.6
084.0007917	 -6.7094222	05 36 00.19	-06 42 33.92	 	 17.6
083.9993750	 -6.7084667	05 35 59.85	-06 42 30.48	 	  1.4
084.4462083	 -6.7083722	05 37 47.09	-06 42 30.14	 	 13.2
083.7460417	 -6.7048278	05 34 59.05	-06 42 17.38	<	  1.4
084.4064583	 -6.6986667	05 37 37.55	-06 41 55.20	<	  1.4
084.2094583	 -6.6984222	05 36 50.27	-06 41 54.32	 	  5.7
084.5134583	 -6.6964222	05 38 03.23	-06 41 47.12	 	  1.6
084.0912500	 -6.6950167	05 36 21.90	-06 41 42.06	<	  1.4
084.2089583	 -6.6914333	05 36 50.15	-06 41 29.16	 	 92.0
084.1706250	 -6.6882389	05 36 40.95	-06 41 17.66	 	 19.6
084.1350833	 -6.6786000	05 36 32.42	-06 40 42.96	 	 27.5
083.9887500	 -6.6744833	05 35 57.30	-06 40 28.14	 	 19.2
083.4894167	 -6.6681056	05 33 57.46	-06 40 05.18	<	  1.6
083.8925000	 -6.6620222	05 35 34.20	-06 39 43.28	 	  3.5
083.7002083	 -6.6616778	05 34 48.05	-06 39 42.04	<	  1.4
