#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-27T20:39:24 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-27T20:39:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/622/A149/tablec1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=Otype&-out=Jmag&-out=Hmag&-out=Ksmag&-out=Class&-out=ClassFlag&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36220149
#Name: J/A+A/622/A149
#Title: Vienna survey in Orion. III. (Grossschedl+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/622/a149	    IVOID of underlying data collection
#INFO	creator=Grossschedl J.E.	    First author or institution
#INFO	cites=bibcode:2019A&A...622A.149G	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/622/A149	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36220149	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-08-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_622_A149_tablec1:
#Name: J/A+A/622/A149/tablec1
#Title: Catalog of YSO candidates and rejected YSOs
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Otype	(a22)	Object Type as given in SIMBAD	[ucd=src.class]
#Column	Jmag	(F7.4)	? J magnitude from VISTA	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.4)	? H magnitude from VISTA	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.4)	? Ks magnitude from VISTA	[ucd=phot.mag;em.IR.K]
#Column	Class	(A4)	YSO classification (9)	[ucd=meta.code.class]
#Column	ClassFlag	(I1)	[1/4] Flag to distinguish between candidates (10)	[ucd=meta.code]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	Otype	Jmag	Hmag	Ksmag	Class	ClassFlag	SimbadName
05 34 54.322	-05 40 08.305	pMS*                  	20.2530	19.2650	18.1490	UG  	4	[MGM2012] 1321
05 34 54.316	-04 54 12.963	pMS*                  	14.7740	12.4090	11.2480	AD  	1	[MGM2012] 2525
05 34 54.334	-04 46 12.024	pMS*                  	15.4590	14.6060	14.1380	AD  	1	[MGM2012] 2655
05 35 11.620	-05 19 12.216	YSO                   	14.1590	       	11.9290	D   	1	[MGM2012] 2050
05 34 54.646	-05 28 18.240	Orion_V*              	13.5760	12.7190	12.3230	D   	1	[MGM2012] 1613
05 34 54.669	-05 40 58.179	pMS*                  	13.7170	12.2250	11.6180	D   	1	[MGM2012] 1308
05 34 54.772	-05 19 18.609	Irregular_V*          	16.0460	14.9540	14.2890	D   	1	[MGM2012] 2047
05 34 54.799	-05 55 08.262	pMS*                  	14.8650	14.3060	13.9840	AD  	1	[MGM2012] 1138
05 34 54.833	-05 25 12.521	Irregular_V*          	13.1040	12.3220	11.9230	D   	1	[MGM2012] 1740
05 34 54.909	-05 46 43.910	Orion_V*              	11.3720	10.5620	10.0690	D   	1	[MGM2012] 1214
05 34 54.940	-05 17 01.773	Orion_V*              	11.4940	10.1600	 9.3010	D   	1	[MGM2012] 2136
05 34 55.014	-05 26 58.916	Orion_V*              	13.8960	13.1910	12.8030	AD  	1	VISION J05345501-0526589
05 34 55.102	-04 49 41.482	Orion_V*              	13.4070	12.4620	11.6790	AD  	1	[MGM2012] 2600
05 34 55.138	-04 48 27.701	Orion_V*              	11.1270	10.4130	10.1740	TD  	1	[MGM2012] 2620
05 34 55.552	-05 36 06.141	Orion_V*              	12.7520	11.3700	10.5820	D   	1	[MGM2012] 1399
05 34 55.594	-05 55 29.340	pMS*                  	12.9850	11.9740	11.5790	D   	1	[MGM2012] 1131
05 34 55.662	-04 56 11.720	Orion_V*              	12.4740	11.0040	10.2200	D   	1	[MGM2012] 2501
05 34 55.779	-05 20 10.641	pMS*                  	19.7670	15.5840	13.3610	D   	1	[MGM2012] 2002
05 34 55.799	-05 41 26.170	Orion_V*              	11.3700	10.5090	 9.9300	D   	1	[MGM2012] 1296
05 34 55.832	-05 19 45.458	Irregular_V*          	13.5150	12.3290	11.6660	D   	1	[MGM2012] 2026
05 34 55.951	-05 43 42.486	pMS*                  	15.1860	14.6000	14.2510	AD  	1	[MGM2012] 1260
05 34 56.075	-05 49 35.303	pMS*                  	14.3510	13.1990	12.6410	D   	1	[MGM2012] 1185
05 34 56.436	-06 06 21.182	pMS*                  	15.9300	14.7640	13.9740	D   	1	[MGM2012] 1044
05 34 56.430	-04 26 20.021	pMS*                  	14.8710	14.2990	13.9350	D   	1	[MGM2012] 2766
05 34 56.513	-05 27 51.047	Orion_V*              	12.4930	11.6440	11.2930	D   	1	[MGM2012] 1632
05 34 56.544	-05 01 07.213	Orion_V*              	14.2220	13.5190	13.0230	D   	1	[MGM2012] 2439
05 34 56.620	-05 11 12.464	Orion_V*              	13.6060	12.5830	12.2000	D   	1	[MGM2012] 2271
05 35 19.663	-05 17 46.217	YSO                   	       	       	       	UD  	4	[MGM2012] 2106
05 34 56.811	-05 11 33.035	Ae*                   	10.8960	10.3450	10.1470	D   	1	[MGM2012] 2267
05 34 56.819	-04 46 04.738	Orion_V*              	12.3770	11.4590	10.9610	D   	1	[MGM2012] 2656
05 34 56.827	-04 48 07.122	pMS*                  	14.3670	13.7710	13.4690	AD  	1	[MGM2012] 2631
05 34 56.932	-05 22 06.318	Orion_V*              	13.8060	       	11.7510	D   	1	[MGM2012] 1910
05 34 56.947	-04 54 35.756	pMS*                  	18.2360	15.3570	13.7950	D   	1	[MGM2012] 2521
05 34 57.142	-05 33 29.476	pMS*                  	12.8110	11.7820	11.3630	D   	1	WISE J053457.15-053329.4
05 34 57.154	-07 01 47.267	pMS*                  	12.9890	12.4240	12.1850	TD  	1	[MGM2012] 683
05 34 57.276	-05 44 05.634	Orion_V*              	19.3010	14.9670	12.6060	D   	1	WISE J053457.27-054405.8
05 34 57.366	-05 32 43.015	Orion_V*              	15.0140	14.1970	13.6940	D   	1	[MGM2012] 1485
05 34 57.444	-06 19 33.111	pMS*                  	13.1120	12.4220	12.1920	TD  	1	[MGM2012] 967
05 34 57.450	-04 56 45.478	pMS*                  	14.4830	12.6390	11.6730	D   	1	[MGM2012] 2494
05 34 57.518	-05 50 32.490	pMS*                  	14.5970	13.9950	13.6990	D   	1	[MGM2012] 1178
05 34 57.682	-05 30 29.437	Orion_V*              	14.4910	13.5920	13.1450	AD  	1	[MGM2012] 1540
05 34 57.679	-05 43 57.327	pMS*                  	18.3810	14.7310	12.8230	D   	1	[MGM2012] 1254
05 34 57.709	-04 57 20.013	pMS*                  	18.3700	14.9760	13.1850	F   	1	[MGM2012] 2485
05 34 57.763	-05 23 52.256	Orion_V*              	10.2430	 9.4620	 9.1360	D   	1	[MGM2012] 1806
05 34 57.783	-05 22 51.135	Orion_V*              	12.5080	11.7180	11.3190	D   	1	[MGM2012] 1872
05 34 57.873	-05 28 42.066	Orion_V*              	14.2380	13.2350	12.2810	D   	1	[MGM2012] 1595
05 34 57.934	-05 53 21.623	Flare*                	12.4070	11.7170	11.4930	AD  	2	V* V784 Ori
05 34 58.057	-03 45 20.991	                      	13.6850	13.1100	12.8050	D   	2	2MASS J05345805-0345210
05 34 58.019	-05 37 58.734	Irregular_V*          	14.7160	13.6850	13.2270	D   	1	[MGM2012] 1354
05 34 58.055	-05 29 40.527	Irregular_V*          	13.8730	12.8260	12.2410	D   	1	VISION J05345805-0529405
05 34 58.184	-05 28 47.842	Orion_V*              	15.2010	14.2680	13.6720	D   	1	[MGM2012] 1590
05 34 59.624	-05 25 39.971	Orion_V*              	12.1190	11.2830	10.9140	D   	1	VISION J05345962-0525400
05 34 58.253	-05 41 49.844	Orion_V*              	12.4090	11.0510	10.2790	D   	1	[MGM2012] 1292
05 34 58.271	-05 45 05.633	Orion_V*              	13.1150	11.9820	11.0900	D   	1	[MGM2012] 1234
05 34 58.265	-04 50 51.662	pMS*                  	13.3120	12.3980	11.9260	D   	1	[MGM2012] 2579
05 34 58.335	-05 54 28.832	Orion_V*              	12.1380	11.2620	10.6370	D   	1	[MGM2012] 1143
05 34 58.526	-06 00 00.392	pMS*                  	11.7060	11.0160	10.8190	TD  	1	[MGM2012] 1086
05 34 58.530	-05 32 49.774	Orion_V*              	13.3300	12.4230	11.9010	D   	1	[MGM2012] 1480
05 34 58.615	-05 56 31.880	pMS*                  	15.6940	15.1060	14.7590	D   	1	[MGM2012] 1114
05 34 58.666	-05 56 41.116	pMS*                  	15.4730	14.9010	14.5380	D   	1	[MGM2012] 1113
05 34 58.791	-05 21 17.632	Orion_V*              	11.9830	10.9530	10.2360	AD  	2	V* V2094 Ori
05 34 58.826	-05 17 01.291	Irregular_V*          	16.0410	17.5400	14.5330	D   	1	[MGM2012] 2137
05 34 58.818	-05 47 33.424	pMS*                  	15.7940	14.5950	13.9480	TD  	1	[MGM2012] 1204
05 34 58.857	-05 47 06.721	pMS*                  	14.2880	13.7240	13.3790	D   	1	[MGM2012] 1208
05 34 58.981	-05 47 56.784	pMS*                  	15.1760	13.0870	12.0180	D   	1	[MGM2012] 1200
05 34 59.037	-06 42 17.661	Flare*                	12.7250	11.9370	11.8440	TD  	1	[MGM2012] 805
05 34 59.030	-05 37 50.715	pMS*                  	13.8870	13.0080	12.5650	D   	1	[MGM2012] 1357
05 34 58.998	-07 11 15.811	pMS*                  	15.6410	15.0500	14.6960	D   	1	[MGM2012] 622
05 34 59.012	-05 44 29.390	Orion_V*              	12.1650	11.2520	10.8360	D   	1	[MGM2012] 1245
05 34 59.093	-05 36 21.439	Orion_V*              	13.8450	12.5700	12.0370	D   	1	[MGM2012] 1393
05 34 59.189	-05 23 07.893	pMS*                  	12.9350	       	11.9910	AD  	1	[MGM2012] 1855
05 34 59.187	-05 41 12.518	pMS*                  	15.2590	14.6870	14.3480	D   	1	[MGM2012] 1302
05 34 59.233	-05 45 58.841	Orion_V*              	11.6230	10.2830	 9.4170	D   	1	[MGM2012] 1222
05 34 59.230	-05 44 55.319	Orion_V*              	12.7480	11.1060	 9.9810	D   	1	[MGM2012] 1237
05 34 59.395	-06 07 22.952	pMS*                  	13.1420	12.5520	12.2720	D   	1	[MGM2012] 1040
05 34 59.887	-04 55 27.209	pMS*                  	16.8760	14.0140	12.5360	AD  	1	[MGM2012] 2511
05 34 59.921	-04 38 51.834	*inCl                 	13.9920	13.3530	12.9430	D   	2	2MASS J05350008-0438531
05 35 00.112	-05 23 01.910	Orion_V*              	10.2300	 9.4240	 8.9890	D   	1	VISION J05350011-0523019
05 35 00.151	-04 44 10.585	pMS*                  	14.1580	13.1310	12.6310	D   	1	[MGM2012] 2677
05 35 00.155	-05 50 27.487	pMS*                  	13.5510	12.1430	11.4310	D   	1	[MGM2012] 1179
05 35 00.216	-05 24 09.287	Orion_V*              	15.2100	13.9070	13.2140	D   	1	VISION J05350022-0524093
05 35 00.235	-05 15 59.029	pMS*                  	14.0760	12.7820	12.1900	D   	1	[MGM2012] 2173
05 35 00.252	-04 56 08.860	Orion_V*              	14.2940	13.1940	12.5740	D   	1	[MGM2012] 2502
05 35 00.247	-06 02 14.378	pMS*                  	15.2000	14.6240	14.2990	AD  	1	[MGM2012] 1070
05 35 00.391	-05 09 44.063	pMS*                  	13.8130	13.1800	12.9250	TD  	1	[MGM2012] 2298
05 35 00.467	-05 25 14.289	Orion_V*              	12.1880	11.1870	10.4010	D   	1	[MGM2012] 1737
05 35 00.461	-04 46 44.661	pMS*                  	14.1710	13.5130	13.1350	AD  	1	[MGM2012] 2650
05 35 00.539	-05 49 02.230	YSO                   	16.1980	14.6620	13.9490	F   	1	[MGM2012] 1191
05 35 00.519	-06 01 23.469	Orion_V*              	12.9550	12.2480	11.8240	D   	1	[MGM2012] 1077
05 35 00.531	-04 48 35.733	Orion_V*              	14.7930	13.6850	12.4570	D   	1	[MGM2012] 2616
05 35 00.669	-05 05 08.706	Star                  	10.0430	 9.9610	 9.8660	AD  	2	2MASS J05350067-0505087
05 35 00.823	-05 38 07.947	Orion_V*              	11.9000	10.7990	10.0220	D   	1	[MGM2012] 1351
05 35 00.820	-05 55 25.988	Orion_V*              	20.1360	15.6700	13.0360	F   	1	HOPS 16
05 35 00.852	-05 31 05.834	Orion_V*              	13.4230	12.5880	12.1060	D   	1	[MGM2012] 1518
05 35 00.929	-04 48 18.827	pMS*                  	12.3820	11.5780	11.2560	D   	1	[MGM2012] 2626
05 35 01.075	-05 23 04.128	Orion_V*              	13.7200	       	12.2410	AD  	1	[MGM2012] 1861
05 35 01.174	-05 24 06.729	pMS*                  	11.3750	11.0760	10.8550	D   	1	[MGM2012] 1790
05 35 01.218	-05 21 44.493	pMS*                  	13.3600	       	11.6830	D   	1	[MGM2012] 1926
05 35 01.323	-04 55 57.114	pMS*                  	14.3180	13.3520	12.8430	AD  	1	[MGM2012] 2504
05 35 01.336	-05 20 22.106	Orion_V*              	12.2040	10.9730	10.2130	D   	1	[MGM2012] 1992
05 35 01.335	-05 41 13.505	Orion_V*              	12.9270	11.2050	10.1840	D   	1	[MGM2012] 1301
05 35 01.366	-06 03 55.621	Orion_V*              	13.8890	13.2510	12.9410	D   	1	[MGM2012] 1062
05 35 01.485	-05 37 16.487	pMS*                  	       	18.1280	15.6410	D   	1	[MGM2012] 1368
05 35 01.481	-05 11 04.190	pMS*                  	13.9600	12.9130	12.4180	D   	1	[MGM2012] 2275
05 35 01.619	-05 21 49.063	Orion_V*              	15.5110	13.3450	12.0300	D   	1	[MGM2012] 1922
05 35 01.672	-04 32 52.914	Orion_V*              	12.7460	11.9620	11.6510	D   	1	[MGM2012] 2746
05 35 01.667	-05 26 36.234	Orion_V*              	14.0730	13.1070	12.0950	D   	1	[MGM2012] 1675
05 35 01.720	-05 25 12.674	YSO                   	       	18.5260	15.3460	D   	1	[MGM2012] 1739
05 35 01.853	-05 45 04.486	pMS*                  	       	       	       	fuzz	3	[MGM2012] 1235
05 35 01.888	-05 53 01.196	pMS*                  	16.5420	15.4200	14.6630	D   	1	[MGM2012] 1154
05 35 02.070	-05 18 22.643	Orion_V*              	12.9650	11.8840	11.4310	D   	1	[MGM2012] 2086
05 35 02.133	-05 23 56.921	Orion_V*              	15.1630	       	11.2040	F   	1	[MGM2012] 1800
05 35 02.153	-05 47 20.113	YSO                   	14.4110	13.3790	12.8650	AD  	2	2MASS J05350215-0547200
05 35 02.182	-05 29 09.833	Star                  	12.0250	11.0670	10.5920	D   	1	VISION J05350218-0529098
05 35 02.181	-05 18 45.288	pMS*                  	16.5860	14.7710	13.7370	AD  	1	[MGM2012] 2068
05 35 02.310	-05 21 23.449	pMS*                  	14.4830	13.2650	12.6010	D   	1	[MGM2012] 1946
05 35 02.496	-05 33 09.932	Orion_V*              	12.0890	11.3190	10.9990	D   	1	[MGM2012] 1465
05 35 02.744	-05 19 44.460	Orion_V*              	13.4880	11.7140	10.7120	D   	1	[MGM2012] 2028
05 35 02.763	-05 32 02.757	Orion_V*              	14.0170	13.6610	13.1560	D   	1	[MGM2012] 1493
05 35 02.780	-05 40 31.079	pMS*                  	14.8430	12.6790	11.4720	D   	1	[MGM2012] 1315
05 35 02.788	-05 44 42.958	pMS*                  	13.8600	13.1720	12.7520	AD  	1	[MGM2012] 1240
05 35 02.841	-05 22 08.252	Orion_V*              	12.0350	10.3060	 9.2320	D   	1	[MGM2012] 1909
05 35 02.902	-04 54 30.019	pMS*                  	20.6080	16.1660	13.7660	D   	1	[MGM2012] 2522
05 35 02.956	-04 53 05.830	Orion_V*              	17.1480	14.9430	12.7650	D   	1	[MGM2012] 2550
05 35 02.978	-04 48 32.742	Orion_V*              	13.2130	12.4620	12.1860	D   	1	[MGM2012] 2617
05 35 02.996	-05 30 01.500	Orion_V*              	10.3320	 9.5100	 9.2180	TD  	1	[MGM2012] 1557
05 35 02.996	-05 38 40.535	Irregular_V*          	14.7770	14.1840	13.8750	AD  	1	[MGM2012] 1342
05 35 03.015	-05 45 35.515	Orion_V*              	14.5720	13.5590	13.0280	D   	1	[MGM2012] 1227
05 35 03.089	-05 22 37.800	Orion_V*              	11.9870	11.0020	10.5650	D   	1	VISION J05350309-0522378
05 35 03.072	-04 44 16.591	pMS*                  	14.2740	13.5340	13.0810	D   	1	[MGM2012] 2675
05 35 03.119	-05 09 17.003	pMS*                  	13.2170	12.3750	12.1010	D   	1	[MGM2012] 2306
05 35 03.154	-05 18 29.908	Orion_V*              	12.6990	11.7850	11.3470	AD  	1	[MGM2012] 2082
05 35 03.224	-05 17 53.309	Orion_V*              	13.0300	12.0420	11.6540	AD  	1	[MGM2012] 2102
05 35 03.234	-05 17 26.466	Orion_V*              	15.7330	14.0850	13.2150	D   	1	[MGM2012] 2116
05 35 03.260	-04 49 20.949	Orion_V*              	 9.9590	 9.0780	 8.5100	D   	1	[MGM2012] 2606
05 35 03.324	-05 16 22.834	Orion_V*              	13.9100	12.3050	11.6090	D   	1	[MGM2012] 2159
05 35 03.337	-04 56 42.989	pMS*                  	12.3330	11.5750	11.3090	D   	1	[MGM2012] 2495
05 35 03.370	-05 35 14.752	YSO                   	       	       	17.3780	UD  	4	[MGM2012] 1416
05 35 03.398	-04 52 31.708	pMS*                  	15.0380	13.5740	12.7570	AD  	1	[MGM2012] 2554
05 35 03.430	-05 26 10.002	IR                    	13.9240	13.2180	12.8950	AD  	1	VISION J05350343-0526100
05 35 03.441	-05 23 32.819	Irregular_V*          	13.9110	13.1730	12.7680	D   	1	[MGM2012] 1830
05 35 03.569	-05 29 26.188	Orion_V*              	12.3480	11.2780	10.5820	D   	1	VISION J05350357-0529262
05 35 03.583	-05 16 00.448	Orion_V*              	14.5020	13.4650	12.8630	D   	1	[MGM2012] 2171
05 35 03.698	-05 22 45.753	Irregular_V*          	13.4010	       	11.4960	D   	1	[MGM2012] 1879
05 35 03.708	-04 50 53.069	Orion_V*              	11.4670	10.3650	 9.5960	D   	1	[MGM2012] 2578
05 35 03.733	-06 00 13.888	pMS*                  	       	14.1300	13.8230	D   	1	[MGM2012] 1085
05 35 03.759	-04 47 51.681	pMS*                  	14.2110	13.4950	13.1520	D   	1	[MGM2012] 2634
05 35 03.785	-05 24 54.383	Orion_V*              	14.2020	12.9490	12.2450	D   	1	[MGM2012] 1755
05 35 03.920	-05 29 03.335	Orion_V*              	11.2390	10.4360	10.1220	D   	1	[MGM2012] 1584
05 35 04.818	-05 22 38.693	Orion_V*              	12.8400	       	11.7230	D   	1	[MGM2012] 1885
05 35 03.954	-05 54 01.902	Orion_V*              	13.2440	12.0060	11.2630	D   	1	[MGM2012] 1147
05 35 03.951	-05 51 19.024	Orion_V*              	14.6580	13.5440	12.8850	D   	1	[MGM2012] 1171
05 35 03.961	-05 18 59.791	Orion_V*              	13.1360	       	11.5500	D   	1	[MGM2012] 2057
05 35 04.064	-05 26 37.168	Orion_V*              	12.0760	11.1910	10.9050	D   	1	[MGM2012] 1674
05 35 04.167	-05 22 24.389	pMS*                  	13.5860	       	12.5800	AD  	1	[MGM2012] 1903
05 35 04.171	-05 22 32.048	Orion_V*              	19.5110	15.4810	13.1370	D   	1	[MGM2012] 1895
05 35 04.193	-05 26 27.826	BYDra                 	12.1170	11.0970	10.5820	D   	1	[MGM2012] 1682
05 35 04.343	-05 38 31.161	Orion_V*              	13.6610	12.3600	11.8230	D   	1	[MGM2012] 1346
05 35 04.370	-05 23 13.865	Orion_V*              	11.1990	10.2850	 9.8200	D   	1	[MGM2012] 1849
05 35 04.407	-04 57 15.463	pMS*                  	14.7960	13.9110	13.4430	AD  	1	[MGM2012] 2486
05 35 04.499	-05 23 56.514	Orion_V*              	11.3290	10.1930	 9.5360	AD  	2	V* V2140 Ori
05 35 04.500	-05 26 04.394	Orion_V*              	12.1380	11.2190	10.8640	AD  	1	VISION J05350450-0526044
05 35 04.576	-05 35 13.802	YSO                   	       	       	18.1520	I   	1	HOPS 43
05 35 04.524	-05 29 38.194	pMS*                  	11.8230	11.2300	10.9650	AD  	1	[MGM2012] 1569
05 35 04.533	-05 51 59.668	pMS*                  	       	       	16.6530	fuzz	3	[MGM2012] 1163
05 35 04.607	-05 26 23.063	BYDra                 	12.2640	11.1710	10.7200	D   	1	[MGM2012] 1691
05 35 04.607	-04 58 29.065	Orion_V*              	14.1300	12.0930	11.0870	D   	1	[MGM2012] 2476
05 35 04.611	-05 38 37.976	pMS*                  	14.2290	12.1640	11.3210	D   	1	[MGM2012] 1344
05 35 04.630	-05 09 55.695	SB                    	11.3990	10.7060	10.3890	TD  	1	[MGM2012] 2292
05 35 04.652	-04 54 02.393	pMS*                  	15.8570	14.5220	13.7240	AD  	1	[MGM2012] 2532
05 35 04.692	-05 24 35.907	Orion_V*              	13.8770	12.8850	12.1160	F   	1	[MGM2012] 1767
05 35 04.682	-04 46 21.851	pMS*                  	15.4530	14.3250	13.0430	D   	1	[MGM2012] 2654
05 35 04.719	-05 37 12.295	YSO                   	       	       	       	0   	1	HOPS 38
05 35 04.753	-05 26 37.985	Orion_V*              	11.9700	11.0290	10.6170	D   	1	VISION J05350475-0526380
05 35 04.761	-05 17 42.154	Orion_V*              	11.5250	10.0990	 9.3390	AD  	1	[MGM2012] 2111
05 35 04.813	-04 47 08.953	pMS*                  	14.0040	13.3480	12.9110	D   	1	[MGM2012] 2643
05 35 04.873	-05 20 57.393	Orion_V*              	13.5980	       	11.4240	AD  	1	[MGM2012] 1970
05 35 04.868	-05 44 26.740	Orion_V*              	14.8140	13.3400	12.4470	D   	1	[MGM2012] 1247
05 35 04.903	-05 39 49.699	pMS*                  	15.6810	14.4830	13.7490	D   	1	[MGM2012] 1328
05 35 04.988	-05 49 29.634	pMS*                  	14.9440	14.4010	14.1040	AD  	1	[MGM2012] 1186
05 35 05.058	-05 35 40.740	Irregular_V*          	16.7520	14.9390	13.6220	I   	1	HOPS 42
05 35 05.064	-05 36 43.808	Orion_V*              	12.7290	11.9090	11.3840	D   	1	[MGM2012] 1384
05 35 05.117	-05 25 01.358	pMS*                  	       	15.0960	13.8270	D   	1	[MGM2012] 1747
05 35 05.135	-05 20 24.449	Orion_V*              	12.3380	11.2490	10.6260	D   	1	[MGM2012] 1991
05 35 05.122	-05 37 41.968	pMS*                  	       	       	       	fuzz	3	[MGM2012] 1359
05 35 05.193	-05 14 50.319	Orion_V*              	 8.1660	 7.5390	 7.1900	D   	1	[MGM2012] 2201
05 35 05.189	-05 26 03.712	pMS*                  	13.6000	       	12.5260	D   	1	[MGM2012] 1702
05 35 05.326	-05 34 28.487	Orion_V*              	12.0290	11.0130	10.4320	D   	1	[MGM2012] 1437
05 35 05.372	-05 24 10.536	Orion_V*              	11.7370	11.1460	 9.6160	D   	1	[MGM2012] 1788
05 35 05.451	-05 22 30.536	Orion_V*              	13.8750	13.1500	12.4080	AD  	1	VISION J05350545-0522305
05 35 05.451	-04 57 05.528	pMS*                  	       	18.0230	14.9910	D   	1	[MGM2012] 2489
05 35 05.541	-05 51 54.107	YSO                   	18.6280	16.0030	14.1080	I   	1	HOPS 18
05 35 05.496	-05 27 52.206	Orion_V*              	12.3630	11.4150	10.9950	AD  	1	[MGM2012] 1631
05 35 05.615	-05 29 22.307	Orion_V*              	12.9160	11.5720	10.4990	F   	1	[MGM2012] 1576
05 35 05.637	-05 25 19.577	Orion_V*              	 8.9930	 8.1100	 7.4340	D   	1	[MGM2012] 1732
05 35 05.676	-05 23 45.353	Orion_V*              	14.7400	13.2110	12.1030	F   	1	[MGM2012] 1816
05 35 05.724	-05 24 18.467	Orion_V*              	11.3820	10.1980	 9.3150	D   	1	[MGM2012] 1782
05 35 05.727	-05 11 35.076	Orion_V*              	12.9750	11.4700	10.7610	D   	1	[MGM2012] 2266
05 35 05.761	-05 33 55.796	Flare*                	11.9740	10.9230	10.2330	D   	1	VISION J05350576-0533558
05 35 05.761	-05 35 22.047	Irregular_V*          	14.5950	13.9800	13.6770	AD  	1	[MGM2012] 1412
05 35 05.792	-05 23 16.048	pMS*                  	13.8950	13.0250	12.4980	D   	1	[MGM2012] 1845
05 35 05.784	-05 38 27.816	Orion_V*              	15.5780	14.3650	12.7480	D   	1	[MGM2012] 1349
05 35 05.793	-05 38 39.836	Orion_V*              	14.7920	13.3530	12.4050	D   	1	[MGM2012] 1343
05 35 05.850	-04 48 43.217	Orion_V*              	12.2140	11.1610	10.5660	D   	1	[MGM2012] 2614
05 35 05.886	-05 27 08.996	Orion_V*              	12.5080	11.1390	10.3900	D   	1	VISION J05350589-0527090
05 35 05.890	-05 08 38.222	Irregular_V*          	15.2180	14.0770	13.5640	AD  	1	[MGM2012] 2317
05 35 06.049	-06 19 32.886	pMS*                  	18.5340	16.3770	15.1500	D   	1	[MGM2012] 968
05 35 06.066	-05 57 00.946	pMS*                  	12.4470	10.9280	10.0870	D   	1	WISE J053506.06-055700.9
05 35 06.149	-05 19 55.606	Irregular_V*          	12.9760	11.9380	11.3740	AD  	1	[MGM2012] 2016
05 35 06.187	-05 20 17.401	pMS*                  	14.7440	13.2820	12.4000	D   	1	[MGM2012] 1998
05 35 06.276	-05 49 02.006	Orion_V*              	16.1010	13.8740	12.1350	D   	1	WISE J053506.27-054902.0
05 35 06.423	-05 27 04.751	pMS*                  	12.9310	       	11.7980	D   	1	[MGM2012] 1655
05 35 06.425	-05 23 15.278	pMS*                  	13.3270	       	12.2000	AD  	1	[MGM2012] 1846
05 35 06.459	-05 21 18.799	pMS*                  	13.4990	       	12.4140	AD  	1	[MGM2012] 1951
05 35 06.444	-05 33 35.175	Orion_V*              	11.0100	 9.6770	 8.7170	F   	1	HOPS 45
05 35 06.460	-05 31 09.065	Orion_V*              	13.5080	12.8040	12.5140	D   	1	[MGM2012] 1515
05 35 06.490	-05 17 22.504	pMS*                  	14.7360	12.7210	11.7630	D   	1	[MGM2012] 2119
05 35 06.540	-05 25 01.495	Orion_V*              	13.7430	       	12.0380	AD  	1	[MGM2012] 1746
05 35 06.568	-05 32 51.462	Orion_V*              	14.2610	12.2960	11.2620	F   	1	HOPS 48
05 35 06.599	-05 26 50.892	pMS*                  	12.3600	11.6140	11.1780	D   	1	[MGM2012] 1664
05 35 06.659	-05 22 44.530	YSO                   	       	       	16.8130	D   	1	[MGM2012] 1882
05 35 06.660	-04 21 58.248	pMS*                  	14.9280	14.3620	14.0080	D   	1	[MGM2012] 2778
05 35 06.749	-04 33 28.241	pMS*                  	15.6780	14.9700	14.5540	AD  	1	[MGM2012] 2743
05 35 06.779	-05 20 19.026	pMS*                  	14.4540	13.6790	13.2240	D   	1	[MGM2012] 1996
05 35 06.768	-05 51 01.396	pMS*                  	12.7430	11.2930	10.7390	D   	1	[MGM2012] 1176
05 35 06.782	-04 50 01.869	YSO                   	17.4340	16.3910	15.6880	G   	3	HOPS 104
05 35 06.909	-05 26 00.587	Unknown               	13.5880	       	12.3190	D   	1	[MGM2012] 1703
05 35 06.860	-05 11 49.983	low-mass*             	16.6120	15.8150	15.0020	D   	1	[MGM2012] 2259
