#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:31:22 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:31:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/872/158/table4&-order=I&-out=ALMA&-out=2MASS&-out=Role&-out=Sample&-out=binsep&-out=r_binsep&-out=l_F1.3mm&-out=F1.3mm&-out=e_F1.3mm&-out=r_F1.3mm&-out=SpT&-out=r_SpT&-out=logMstar&-out=e_logMstar&-out=E_logMstar&-out=logLstar&-out=e_logLstar&-out=E_logLstar&-out=l_logMdisk&-out=logMdisk&-out=e_logMdisk&-out=Dist&-out=e_Dist&-out=f_Dist&-out=L10&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720158
#Name: J/ApJ/872/158
#Title: Survey of Class II sources in Taurus with ALMA (Akeson+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/158	    IVOID of underlying data collection
#INFO	creator=Akeson R.L.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..158A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/158	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720158	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_872_158_table4:
#Name: J/ApJ/872/158/table4
#Title: Taurus disk and stellar properties
#Column	ALMA	(A1)	Display the ALMA data for this source (link to Table 2)	[ucd=meta.ref.url]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Role	(I2)	[-9/4]? Role (1)	[ucd=meta.code]
#Column	Sample	(A1)	[YN] In sample?	[ucd=meta.code]
#Column	binsep	(F6.3)	[0.1/17.2]? Binary separation	[ucd=pos.angDistance;src.orbital]
#Column	r_binsep	(I1)	? Binary separation reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	l_F1.3mm	(A1)	Limit on Flux	[ucd=meta.code.error]
#Column	F1.3mm	(F6.2)	[0.16/344.2] Flux at 1.3mm	[ucd=phot.flux.density;em.mm.200-400GHz]
#Column	e_F1.3mm	(F5.2)	[0.07/17.8]? Uncertainty in F1.3mm	[ucd=stat.error]
#Column	r_F1.3mm	(I2)	F1.3mm reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpT	(a9)	Spectral Type	[ucd=src.spType]
#Column	r_SpT	(a5)	Spectral Type Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	logMstar	(F5.2)	[-1.77/0.54] Log of stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(F5.2)	[0.01/0.38] Lower uncertainty in logMstar	[ucd=stat.error]
#Column	E_logMstar	(F5.2)	[0.0/0.38] Upper uncertainty in logMstar	[ucd=stat.error;stat.max]
#Column	logLstar	(F5.2)	[-2.35/1.72] Log of stellar luminosity	[ucd=phys.luminosity;em.radio]
#Column	e_logLstar	(F5.2)	[0.01/0.65] Lower uncertainty in logLstar	[ucd=stat.error]
#Column	E_logLstar	(F5.2)	[0.01/0.65] Upper uncertainty in logLstar	[ucd=stat.error;stat.max]
#Column	l_logMdisk	(A1)	Limit flag on logMdisk	[ucd=meta.code.error]
#Column	logMdisk	(F5.2)	[-4.59/-0.93] Log of disk mass	[ucd=phys.mass]
#Column	e_logMdisk	(F5.2)	[0.08/0.27]? Uncertainty in logMdisk	[ucd=stat.error]
#Column	Dist	(F6.2)	[115.12/873.64] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F6.2)	[0.05/346.2] Uncertainty in Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/8]? Distance flag (2)	[ucd=meta.code]
#Column	L10	(I3)	Display data from Luhman+, 2010, J/ApJS/186/111 within 1"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
ALMA	2MASS	Role	Sample	binsep	r_binsep	l_F1.3mm	F1.3mm	e_F1.3mm	r_F1.3mm	SpT	r_SpT	logMstar	e_logMstar	E_logMstar	logLstar	e_logLstar	E_logLstar	l_logMdisk	logMdisk	e_logMdisk	Dist	e_Dist	f_Dist	L10	Simbad	_RA	_DE
 	J04290068+2755033	 0	N	      	 	<	  1.60	     	 8	M8.25    	17   	-1.63	 0.14	 0.18	-2.14	 0.21	 0.26	<	-3.26	     	145.71	  7.67	 	  1	Simbad	067.25285	+27.91758
 	J04290498+2649073	-9	N	      	 	 	120.00	10.00	 8	K5       	26   	-0.10	 0.05	 0.06	 0.13	 0.08	 0.12	 	-2.03	 0.09	134.35	  0.99	2	  1	Simbad	067.27079	+26.81858
 	J04292165+2701259	 0	Y	      	 	 	  2.89	 0.14	11	M5.25    	17   	-0.98	 0.27	 0.21	-1.14	 0.43	 0.40	 	-3.36	 0.13	129.11	  2.37	2	  1	Simbad	067.34026	+27.02376
 	J04293606+2435556	-9	N	      	 	 	 15.20	 1.20	 8	M3       	12   	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	 	-2.80	 0.09	128.97	  1.50	 	  1	Simbad	067.40027	+24.59877
 	J04294155+2632582	 1	N	      	 	 	 18.00	 8.20	 8	M1       	20   	-0.35	 0.09	 0.10	-0.25	 0.13	 0.14	 	-2.75	 0.18	134.85	  1.27	 	  1	Simbad	067.42313	+26.54948
 	J04294155+2632582	 2	N	      	 	<	  3.80	     	 8	M7.5     	8    	-1.50	 0.17	 0.17	-1.95	 0.25	 0.25	<	-3.00	     	134.85	  1.27	1	  1	Simbad	067.42313	+26.54948
 	J04295156+2606448	 0	Y	      	 	 	 61.90	 4.50	 8	M1.1     	14   	-0.36	 0.09	 0.10	-0.26	 0.13	 0.14	 	-2.24	 0.09	130.79	  1.06	 	  1	Simbad	067.46482	+26.11246
*	J04295950+2433078	 0	Y	      	 	 	  2.90	 0.17	 7	M5       	17   	-0.92	 0.29	 0.19	-1.03	 0.49	 0.35	 	-3.38	 0.12	130.72	  2.63	 	  1	Simbad	067.49795	+24.55214
*	J04300399+1813493	 1	N	      	 	 	 79.00	 3.95	 7	G8       	27   	 0.37	 0.09	 0.05	 0.95	 0.17	 0.13	 	-2.38	 0.09	139.40	  1.96	 	  1	Simbad	067.51664	+18.23041
*	J04300399+1813493	 2	N	      	 	<	  0.36	     	 7	M2       	28   	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	<	-4.39	     	139.40	  1.96	1	  1	Simbad	067.51664	+18.23041
*	J04300399+1813493	 3	N	      	 	<	  0.36	     	 7	M3.0     	7    	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	<	-4.36	     	139.40	  1.96	1	  1	Simbad	067.51664	+18.23041
*	J04300399+1813493	 4	N	      	 	<	  0.36	     	 7	M2.8     	14   	-0.51	 0.18	 0.09	-0.47	 0.19	 0.11	<	-4.37	     	139.40	  1.96	1	  1	Simbad	067.51664	+18.23041
 	J04300724+2608207	 0	N	      	 	<	  2.40	     	 8	M8.5     	19   	-1.67	 0.13	 0.17	-2.20	 0.19	 0.25	<	-3.27	     	116.47	  7.46	 	  1	Simbad	067.53020	+26.13908
*	J04302961+2426450	 1	Y	 0.890	1	 	  7.84	 0.53	 7	M1       	28   	-0.35	 0.09	 0.10	-0.25	 0.13	 0.14	 	-3.14	 0.09	130.11	  0.64	2	  1	Simbad	067.62341	+24.44584
*	J04302961+2426450	 2	Y	 0.890	1	<	  0.36	     	 7	M4       	28   	-0.73	 0.19	 0.19	-0.68	 0.35	 0.19	<	-4.37	     	130.11	  0.64	2	  1	Simbad	067.62341	+24.44584
 	J04304425+2601244	 1	Y	 2.360	3	 	 30.30	 0.18	 9	K8.5     	14   	-0.20	 0.02	 0.00	-0.04	 0.03	 0.01	 	-2.62	 0.08	128.05	  0.98	 	  2	Simbad	067.68435	+26.02351
 	J04304425+2601244	 2	Y	 2.360	3	 	  2.88	 0.19	 9	M1.7     	14   	-0.42	 0.09	 0.10	-0.34	 0.11	 0.14	 	-3.57	 0.09	128.05	  0.98	1	  2	Simbad	067.68435	+26.02351
*	J04305137+2442222	-1	N	      	 	 	  0.59	 0.11	 7	M3/4.5   	23,8 	-0.24	 0.19	 0.10	-0.34	 0.24	 0.17	 	-4.24	 0.11	130.73	  1.26	2	  1	Simbad	067.71411	+24.70620
 	J04305171+2441475	 0	Y	      	 	 	105.80	 1.50	 8	M4.5     	14   	-0.83	 0.23	 0.20	-0.85	 0.39	 0.26	 	-1.86	 0.10	130.73	  1.26	2	  1	Simbad	067.71550	+24.69656
 	J04305718+2556394	 0	N	      	 	<	  2.60	     	 8	M8.25    	19   	-1.63	 0.14	 0.18	-2.14	 0.21	 0.26	<	-3.20	     	123.09	  7.18	 	  1	Simbad	067.73835	+25.94432
 	J04311444+2710179	 0	Y	      	 	<	  3.10	     	 8	K8.0     	14   	-0.20	 0.01	 0.01	-0.03	 0.01	 0.01	<	-3.62	     	127.02	  0.72	 	  1	Simbad	067.81016	+27.17164
*	J04314007+1813571	 1	Y	 0.300	1	 	  7.30	 0.42	 7	M2       	16   	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	 	-3.05	 0.08	144.15	  1.55	2	  1	Simbad	067.91703	+18.23240
*	J04314007+1813571	 2	Y	 0.300	1	 	  8.90	 0.49	 7	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-2.91	 0.09	144.15	  1.55	2	  1	Simbad	067.91703	+18.23240
 	J04315056+2424180	 1	Y	 2.350	1	 	 33.80	 0.20	 9	M1       	29   	-0.35	 0.09	 0.10	-0.25	 0.13	 0.14	 	-2.49	 0.09	132.85	  1.64	 	  1	Simbad	067.96072	+24.40494
 	J04315056+2424180	 2	Y	 2.350	1	 	 16.00	 0.24	 9	M2       	29   	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	 	-2.78	 0.08	132.85	  1.64	1	  1	Simbad	067.96072	+24.40494
*	J04315779+1821380	 1	Y	 3.170	1	 	 66.00	 3.31	 9	M1.7     	14   	-0.42	 0.09	 0.10	-0.34	 0.11	 0.14	 	-2.12	 0.09	142.42	  2.28	 	  1	Simbad	067.99080	+18.36054
*	J04315779+1821380	 2	Y	 3.170	1	<	  0.61	     	 9	M3.3     	14   	-0.59	 0.20	 0.12	-0.55	 0.22	 0.14	<	-4.10	     	142.42	  2.28	1	  1	Simbad	067.99080	+18.36054
*	J04315968+1821305	-9	N	      	 	<	  0.30	     	 7	M1.7     	14   	-0.42	 0.09	 0.10	-0.34	 0.11	 0.14	<	-4.39	     	154.81	  3.79	 	  1	Simbad	067.99870	+18.35843
 	J04321540+2428597	 0	Y	      	 	 	119.60	 5.70	 8	M0       	30   	-0.25	 0.10	 0.04	-0.11	 0.14	 0.06	 	-2.00	 0.08	129.68	  0.51	2	  1	Simbad	068.06424	+24.48322
*	J04321606+1812464	 0	N	      	 	<	  0.31	     	 7	M6.5     	14   	-1.33	 0.17	 0.27	-1.70	 0.25	 0.45	<	-4.09	     	144.06	  2.00	 	  1	Simbad	068.06694	+18.21288
 	J04322210+1827426	 0	Y	      	 	 	 19.37	 0.30	11	M5.0     	14   	-0.92	 0.29	 0.19	-1.03	 0.49	 0.35	 	-2.48	 0.12	141.38	  1.96	 	  1	Simbad	068.09213	+18.46185
*	J04322415+2251083	-9	N	      	 	<	  0.30	     	 7	M4.5     	12   	-0.83	 0.23	 0.20	-0.85	 0.39	 0.26	<	-4.26	     	154.76	  2.91	 	  1	Simbad	068.10066	+22.85231
*	J04323028+1731303	 1	N	      	 	 	  7.00	 0.87	 7	K7       	31   	-0.19	 0.01	 0.04	-0.02	 0.01	 0.07	 	-3.13	 0.09	149.46	  2.21	 	  1	Simbad	068.12618	+17.52508
*	J04323028+1731303	 2	N	      	 	<	  2.40	     	 7	M0.5     	31   	-0.29	 0.10	 0.07	-0.17	 0.15	 0.10	<	-3.56	     	149.46	  2.21	1	  1	Simbad	068.12618	+17.52508
*	J04323028+1731303	 3	N	      	 	<	  2.40	     	 7	M5.5     	31   	-1.05	 0.27	 0.23	-1.25	 0.45	 0.39	<	-3.29	     	149.46	  2.21	1	  1	Simbad	068.12618	+17.52508
*	J04323028+1731303	 4	N	      	 	<	  2.40	     	 7	M7.5     	31   	-1.50	 0.17	 0.17	-1.95	 0.25	 0.25	<	-3.11	     	149.46	  2.21	1	  1	Simbad	068.12618	+17.52508
 	J04323058+2419572	 1	Y	17.200	4	 	 13.80	 5.10	 8	M0.1     	14   	-0.26	 0.10	 0.05	-0.12	 0.14	 0.07	 	-2.93	 0.15	129.74	  1.20	 	  1	Simbad	068.12741	+24.33260
 	J04323176+2420029	 2	Y	17.200	4	 	 13.70	 2.40	 8	M0.5     	14   	-0.29	 0.10	 0.07	-0.17	 0.15	 0.10	 	-2.92	 0.11	129.56	  1.26	 	  1	Simbad	068.13235	+24.33418
 	J04324303+2552311	-1	N	      	 	 	128.10	 7.30	 8	M1/4     	20,32	-0.05	 0.09	 0.10	-0.11	 0.18	 0.15	 	-1.94	 0.10	134.49	  7.67	2	  1	Simbad	068.17948	+25.87528
 	J04324303+2552311	 2	N	      	 	 	 16.20	 3.90	 8	M2       	16   	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	 	-2.77	 0.13	134.49	  7.67	2	  1	Simbad	068.17948	+25.87528
 	J04324303+2552311	 3	N	      	 	 	 31.00	 4.10	 8	M3       	16   	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	 	-2.46	 0.11	134.49	  7.67	2	  1	Simbad	068.17948	+25.87528
 	J04324911+2253027	 1	Y	 1.650	5	 	  3.53	 0.23	 9	K5.5     	14   	-0.11	 0.07	 0.04	 0.11	 0.10	 0.07	 	-3.38	 0.09	163.79	  2.14	 	  1	Simbad	068.20465	+22.88412
 	J04324911+2253027	 2	Y	 1.650	5	 	  3.06	 0.24	 9	M4.6     	14   	-0.84	 0.22	 0.20	-0.89	 0.36	 0.28	 	-3.19	 0.11	163.79	  2.14	1	  1	Simbad	068.20465	+22.88412
 	J04324911+2253027	 1	N	      	 	 	  0.25	 0.08	 9	M8.5     	7    	-1.67	 0.13	 0.17	-2.20	 0.19	 0.25	 	-3.95	 0.15	163.79	  2.14	1	  1	Simbad	068.20465	+22.88412
 	J04324911+2253027	 2	N	      	 	 	  2.30	 0.24	 9	M8.5     	7    	-1.67	 0.13	 0.17	-2.20	 0.19	 0.25	 	-2.99	 0.10	163.79	  2.14	1	  1	Simbad	068.20465	+22.88412
*	J04330622+2409339	 1	Y	 0.310	1	 	  3.90	 0.22	 7	M2       	16   	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	 	-3.42	 0.08	129.68	  0.51	2	  1	Simbad	068.27591	+24.15934
*	J04330622+2409339	 2	Y	 0.310	1	 	  2.90	 0.18	 7	M2       	16   	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	 	-3.55	 0.09	129.68	  0.51	2	  1	Simbad	068.27591	+24.15934
*	J04330664+2409549	 1	N	      	 	 	  8.90	 0.46	 7	K7       	33   	-0.19	 0.01	 0.04	-0.02	 0.01	 0.07	 	-3.15	 0.08	129.68	  0.51	2	  1	Simbad	068.27763	+24.16529
*	J04330664+2409549	-2	N	      	 	<	  0.33	     	 7	M2/2.5   	33   	-0.14	 0.10	 0.09	-0.10	 0.14	 0.12	<	-4.56	     	129.68	  0.51	2	  1	Simbad	068.27763	+24.16529
*	J04330945+2246487	 0	Y	      	 	<	  0.28	     	 7	M6       	17   	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	<	-4.08	     	160.63	  3.81	2	  1	Simbad	068.28943	+22.78017
 	J04331435+2614235	-9	N	      	 	 	  6.60	 3.70	 8	M0       	12   	-0.25	 0.10	 0.04	-0.11	 0.14	 0.06	 	-2.72	 0.26	240.02	 65.31	 	  1	Simbad	068.30983	+26.23986
 	J04331907+2246342	-9	N	      	 	<	  6.00	     	 8	M0.5     	30   	-0.29	 0.10	 0.07	-0.17	 0.15	 0.10	<	-3.10	     	160.63	  3.81	2	  1	Simbad	068.32948	+22.77616
 	J04333278+1800436	-9	N	      	 	 	 11.00	 1.90	 8	M1       	34   	-0.35	 0.09	 0.10	-0.25	 0.13	 0.14	 	-2.89	 0.11	146.59	  1.25	 	  1	Simbad	068.38670	+18.01211
 	J04333405+2421170	 2	Y	13.100	6	 	 12.00	 1.00	 8	M0.4     	14   	-0.28	 0.10	 0.07	-0.16	 0.15	 0.09	 	-2.98	 0.09	130.02	  0.78	 	  1	Simbad	068.39192	+24.35474
 	J04333456+2421058	 1	Y	13.100	6	 	  5.20	 0.22	 9	K6.5     	14   	-0.18	 0.02	 0.07	 0.00	 0.03	 0.10	 	-3.39	 0.08	128.79	  0.73	 	  1	Simbad	068.39401	+24.35163
*	J04333678+2609492	 1	Y	 0.220	1	 	  1.15	 0.16	 7	M0       	16   	-0.25	 0.10	 0.04	-0.11	 0.14	 0.06	 	-3.83	 0.10	161.35	  2.37	2	  1	Simbad	068.40331	+26.16363
*	J04333678+2609492	 2	Y	 0.220	1	 	  1.05	 0.16	 7	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.74	 0.10	161.35	  2.37	2	  1	Simbad	068.40331	+26.16363
 	J04333905+2227207	-9	N	      	 	 	 31.00	 2.00	 8	M1.75    	12   	-0.42	 0.09	 0.10	-0.35	 0.11	 0.14	 	-0.93	 0.27	810.16	346.20	8	  1	Simbad	068.41282	+22.45568
 	J04333906+2520382	 0	Y	      	 	 	168.80	10.80	 8	K5.5     	14   	-0.11	 0.07	 0.04	 0.11	 0.10	 0.07	 	-1.73	 0.08	158.62	  1.21	 	  1	Simbad	068.41282	+25.34392
*	J04333935+1751523	 1	Y	 3.140	3	 	 15.70	 0.79	 7	K3       	14   	 0.05	 0.08	 0.07	 0.38	 0.14	 0.11	 	-2.90	 0.08	145.68	  0.74	2	  1	Simbad	068.41401	+17.86453
*	J04333935+1751523	 2	Y	 3.140	3	 	  0.54	 0.10	 7	M4.8     	14   	-0.88	 0.37	 0.19	-0.95	 0.64	 0.30	 	-4.03	 0.13	145.68	  0.74	2	  1	Simbad	068.41401	+17.86453
 	J04334171+1750402	-9	N	      	 	 	  6.00	 2.00	 8	M4       	35   	-0.73	 0.19	 0.19	-0.68	 0.35	 0.19	 	-3.05	 0.15	145.74	  1.54	 	  1	Simbad	068.42386	+17.84448
 	J04334465+2615005	-9	N	      	 	 	 14.11	 0.27	11	M5.2     	14   	-0.97	 0.27	 0.20	-1.12	 0.43	 0.39	 	-2.48	 0.12	161.35	  2.37	2	  1	Simbad	068.43608	+26.25012
 	J04334871+1810099	 0	Y	      	 	 	 89.40	 3.10	 8	M3.0     	14   	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	 	-1.94	 0.09	144.55	  1.08	 	  1	Simbad	068.45306	+18.16944
 	J04335470+2613275	 1	Y	 2.410	3	 	  7.00	 0.24	 9	K6.0     	14   	-0.15	 0.04	 0.05	 0.05	 0.07	 0.08	 	-3.08	 0.08	161.27	  1.97	 	  2	Simbad	068.47792	+26.22431
 	J04335470+2613275	 2	Y	 2.410	3	 	  4.17	 0.27	 9	M2.9     	14   	-0.52	 0.19	 0.09	-0.48	 0.19	 0.11	 	-3.17	 0.09	161.27	  1.97	1	  2	Simbad	068.47792	+26.22431
 	J04345542+2428531	 0	Y	      	 	 	 65.00	 3.50	 8	M0.6     	14   	-0.30	 0.10	 0.08	-0.18	 0.15	 0.11	 	-2.25	 0.09	128.78	  0.67	2	  1	Simbad	068.73093	+24.48140
 	J04352020+2232146	 0	Y	      	 	 	 16.20	 0.20	 9	M3.2     	14   	-0.57	 0.20	 0.11	-0.53	 0.20	 0.13	 	-2.58	 0.09	160.67	  1.24	 	  1	Simbad	068.83421	+22.53738
 	J04352737+2414589	 0	Y	      	 	 	 82.30	 4.50	 8	M0.3     	14   	-0.27	 0.11	 0.06	-0.14	 0.15	 0.09	 	-2.16	 0.09	127.76	  0.89	 	  1	Simbad	068.86407	+24.24970
 	J04354093+2411087	 1	Y	 2.100	1	 	  1.84	 0.30	 9	M0.5     	14   	-0.29	 0.10	 0.07	-0.17	 0.15	 0.10	 	-3.83	 0.10	124.85	  2.28	 	  1	Simbad	068.92057	+24.18569
 	J04354093+2411087	 2	Y	 2.100	1	 	  5.79	 0.29	 9	M4.3     	14   	-0.79	 0.21	 0.20	-0.77	 0.41	 0.22	 	-3.18	 0.10	124.85	  2.28	1	  1	Simbad	068.92057	+24.18569
 	J04354733+2250216	 0	Y	      	 	 	  4.20	 2.20	 8	K2.0     	14   	 0.11	 0.07	 0.04	 0.50	 0.11	 0.07	 	-3.41	 0.19	162.54	  5.08	2	  1	Simbad	068.94722	+22.83934
 	J04355277+2254231	 0	Y	      	 	 	 51.70	 4.70	 8	K4.0     	14   	-0.04	 0.06	 0.08	 0.24	 0.12	 0.14	 	-2.18	 0.09	176.35	  3.37	 	  1	Simbad	068.96993	+22.90643
*	J04355684+2254360	 1	Y	 0.650	1	 	  5.10	 0.29	 7	M3.1     	14   	-0.55	 0.20	 0.10	-0.51	 0.19	 0.12	 	-3.07	 0.09	162.54	  5.08	2	  1	Simbad	068.98694	+22.90995
*	J04355684+2254360	 2	Y	 0.650	1	 	  0.78	 0.15	 7	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.87	 0.11	162.54	  5.08	2	  1	Simbad	068.98694	+22.90995
*	J04361030+2159364	 0	N	      	 	<	  0.31	     	 7	M8.5     	17   	-1.67	 0.13	 0.17	-2.20	 0.19	 0.25	<	-4.14	     	118.89	  8.68	 	  1	Simbad	069.04293	+21.99347
*	J04362151+2351165	-9	N	      	 	 	  1.45	 0.12	 7	M5.1     	14   	-0.94	 0.28	 0.20	-1.07	 0.45	 0.37	 	-3.78	 0.12	115.12	  1.70	 	  1	Simbad	069.08964	+23.85462
 	J04375670+2546229	-9	N	      	 	<	  2.30	     	 8	M6       	36   	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	<	-1.71	     	873.64	 95.61	 	  1	Simbad	069.48631	+25.77301
 	J04381486+2611399	 0	N	      	 	 	  0.67	 0.10	11	M7.25    	13   	-1.45	 0.18	 0.20	-1.89	 0.26	 0.32	 	-3.70	 0.14	147.48	 16.01	 	  1	Simbad	069.56201	+26.19444
 	J04382134+2609137	 0	Y	      	 	 	  1.05	 0.07	11	M5.0     	14   	-0.92	 0.29	 0.19	-1.03	 0.49	 0.35	 	-3.77	 0.12	137.87	  2.86	 	  1	Simbad	069.58891	+26.15383
 	J04382858+2610494	 0	Y	      	 	 	108.20	 6.90	 8	M0.3     	14   	-0.27	 0.11	 0.06	-0.14	 0.15	 0.09	 	-1.97	 0.09	138.83	  1.02	 	  1	Simbad	069.61912	+26.18041
 	J04385859+2336351	 0	Y	      	 	 	 10.73	 0.18	11	M4.25    	37   	-0.78	 0.21	 0.20	-0.75	 0.40	 0.21	 	-2.91	 0.10	126.40	  1.92	 	  1	Simbad	069.74417	+23.60976
 	J04390163+2336029	 0	Y	      	 	 	  0.45	 0.10	11	M4.9     	14   	-0.90	 0.33	 0.19	-0.99	 0.57	 0.32	 	-4.22	 0.14	127.36	  1.30	 	  1	Simbad	069.75681	+23.60082
 	J04390396+2544264	 0	N	      	 	 	  0.93	 0.12	11	M7.25    	13   	-1.45	 0.18	 0.20	-1.89	 0.26	 0.32	 	-3.57	 0.12	143.62	  4.39	 	  1	Simbad	069.76650	+25.74065
*	J04391741+2247533	 1	Y	 0.660	1	 	  1.90	 0.22	 7	M1.5     	14   	-0.40	 0.08	 0.10	-0.32	 0.11	 0.15	 	-3.57	 0.09	158.15	  1.21	2	  1	Simbad	069.82259	+22.79816
*	J04391741+2247533	 2	Y	 0.660	1	<	  0.60	     	 7	M4.5     	8    	-0.83	 0.23	 0.20	-0.85	 0.39	 0.26	<	-3.94	     	158.15	  1.21	2	  1	Simbad	069.82259	+22.79816
 	J04391779+2221034	 0	Y	      	 	 	127.00	 4.90	 8	K5.5     	14   	-0.11	 0.07	 0.04	 0.11	 0.10	 0.07	 	-1.85	 0.08	158.15	  1.21	 	  1	Simbad	069.82413	+22.35094
*	J04392090+2545021	 1	Y	 0.340	1	 	  0.47	 0.12	 7	M2.5     	14   	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-4.26	 0.13	139.23	  1.85	2	  1	Simbad	069.83718	+25.75056
*	J04392090+2545021	 2	Y	 0.340	1	 	  0.59	 0.12	 7	M2.5     	8    	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-4.16	 0.11	139.23	  1.85	2	  1	Simbad	069.83718	+25.75056
 	J04393364+2359212	-9	N	      	 	 	  3.25	 0.09	11	M5       	12   	-0.92	 0.29	 0.19	-1.03	 0.49	 0.35	 	-3.35	 0.12	126.69	  1.64	 	  1	Simbad	069.89017	+23.98923
 	J04394488+2601527	-9	N	      	 	 	  3.61	 0.10	11	M5.0     	14   	-0.92	 0.29	 0.19	-1.03	 0.49	 0.35	 	-3.24	 0.12	136.37	  2.08	 	  1	Simbad	069.93700	+26.03131
 	J04394748+2601407	 0	N	      	 	 	  2.00	 0.50	 8	M7       	19   	-1.41	 0.18	 0.20	-1.83	 0.25	 0.31	 	-3.24	 0.14	146.82	  5.16	 	  1	Simbad	069.94784	+26.02797
 	J04400067+2358211	 0	Y	      	 	 	  3.13	 0.08	11	M6       	12   	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	 	-3.29	 0.14	120.15	  2.31	 	  1	Simbad	070.00279	+23.97252
 	J04400800+2605253	 0	Y	      	 	 	 51.70	 0.80	 8	M2.9     	36   	-0.52	 0.19	 0.09	-0.48	 0.19	 0.11	 	-2.22	 0.10	136.66	  8.50	 	  1	Simbad	070.03335	+26.09040
 	J04403979+2519061	-1	N	      	 	<	  0.43	     	10	M5.25/7  	13,8 	-0.68	 0.27	 0.21	-1.06	 0.39	 0.38	<	-4.16	     	135.73	  0.05	2	  1	Simbad	070.16578	+25.31838
*	J04404950+2551191	 1	Y	 2.100	6	 	  1.70	 0.14	 7	M2.8     	14   	-0.51	 0.18	 0.09	-0.47	 0.19	 0.11	 	-3.69	 0.09	139.39	  1.08	 	  1	Simbad	070.20629	+25.85527
*	J04404950+2551191	 2	Y	 2.100	6	 	  0.76	 0.13	 7	M6       	38   	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	 	-3.78	 0.15	139.39	  1.08	1	  1	Simbad	070.20629	+25.85527
*	J04410826+2556074	 0	Y	      	 	 	  4.10	 0.23	 7	M3       	39   	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	 	-3.30	 0.09	140.48	  4.19	 	  1	Simbad	070.28442	+25.93538
